Goals,Targets,Indicators,goal_no,target_no
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation",17,6
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","Fixed Internet broadband subscriptions per 100 inhabitants, by speed",17,6
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"Promote the development, transfer, dissemination and diffusion of environmentally sound technologies to developing countries on favourable terms, including on concessional and preferential terms, as mutually agreed","Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",17,7
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology",Proportion of individuals using the Internet,17,8
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"Enhance international support for implementing effective and targeted capacity-building in developing countries to support national plans to implement all the Sustainable Development Goals, including through North-South, South-South and triangular cooperation","Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries",17,9
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"Promote a universal, rules-based, open, non‑discriminatory and equitable multilateral trading system under the World Trade Organization, including through the conclusion of negotiations under its Doha Development Agenda",Worldwide weighted tariff-average,17,10
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries’ share of global exports by 2020",Developing countries’ and least developed countries’ share of global exports,17,11
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","Average tariffs faced by developing countries, least developed countries and small island developing States",17,12
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"Enhance global macroeconomic stability, including through policy coordination and policy coherence",Macroeconomic Dashboard,17,13
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Enhance policy coherence for sustainable development,Number of countries with mechanisms in place to enhance policy coherence of sustainable development,17,14
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,17,15
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"Enhance the Global Partnership for Sustainable Development, complemented by multi-stakeholder partnerships that mobilize and share knowledge, expertise, technology and financial resources, to support the achievement of the Sustainable Development Goals in all countries, in particular developing countries",Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,17,16
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"Encourage and promote effective public, public-private and civil society partnerships, building on the experience and resourcing strategies of partnerships",Amount of United States dollars committed to public-private and civil society partnerships,17,17
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"By 2020, enhance capacity-building support to developing countries, including for least developed countries and small island developing States, to increase significantly the availability of high-quality, timely and reliable data disaggregated by income, gender, age, race, ethnicity, migratory status, disability, geographic location and other characteristics relevant in national contexts","Proportion of sustainable development indicators produced at the national level with full disaggregation when relevant to the target, in accordance with the Fundamental Principles of Official Statistics",17,18
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"By 2020, enhance capacity-building support to developing countries, including for least developed countries and small island developing States, to increase significantly the availability of high-quality, timely and reliable data disaggregated by income, gender, age, race, ethnicity, migratory status, disability, geographic location and other characteristics relevant in national contexts",Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics,17,18
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"By 2020, enhance capacity-building support to developing countries, including for least developed countries and small island developing States, to increase significantly the availability of high-quality, timely and reliable data disaggregated by income, gender, age, race, ethnicity, migratory status, disability, geographic location and other characteristics relevant in national contexts","Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",17,18
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",Dollar value of all resources made available to strengthen statistical capacity in developing countries,17,19
Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,17,19
